1127, 2000, 0.5635, 17063, 124247, 0.137331
1132, 2000, 0.566, 16946, 123755, 0.136932
1147, 2000, 0.5735, 17253, 125569, 0.137399
1124, 2000, 0.562, 17316, 125574, 0.137895
1066, 2000, 0.533, 17179, 124387, 0.138109
1105, 2000, 0.5525, 17105, 124475, 0.137417
1125, 2000, 0.5625, 17213, 125279, 0.137397
1120, 2000, 0.56, 16908, 123294, 0.137136
1118, 2000, 0.559, 17116, 126035, 0.135804
1092, 2000, 0.546, 16862, 123554, 0.136475
1129, 2000, 0.5645, 16979, 124370, 0.13652
1122, 2000, 0.561, 17033, 125024, 0.136238
1109, 2000, 0.5545, 17160, 125477, 0.136758
1128, 2000, 0.564, 17014, 123647, 0.137601
1079, 2000, 0.5395, 17058, 124551, 0.136956
1117, 2000, 0.5585, 17172, 124649, 0.137763
1150, 2000, 0.575, 17218, 125080, 0.137656
1102, 2000, 0.551, 17429, 125720, 0.138633
1098, 2000, 0.549, 16946, 124974, 0.135596
1140, 2000, 0.57, 17241, 124283, 0.138724
1113, 2000, 0.5565, 16766, 122793, 0.136539
1110, 2000, 0.555, 17124, 123947, 0.138156
1151, 2000, 0.5755, 17110, 124685, 0.137226
1141, 2000, 0.5705, 17264, 125191, 0.137901
1094, 2000, 0.547, 17013, 123919, 0.137291
1155, 2000, 0.5775, 17167, 124630, 0.137744
1095, 2000, 0.5475, 17019, 125232, 0.1359
1088, 2000, 0.544, 17237, 125428, 0.137425
1083, 2000, 0.5415, 17045, 123683, 0.137812
1148, 2000, 0.574, 17377, 126276, 0.137611
1165, 2000, 0.5825, 17059, 123300, 0.138354
1117, 2000, 0.5585, 17213, 124818, 0.137905
1115, 2000, 0.5575, 17304, 125258, 0.138147
1125, 2000, 0.5625, 17094, 124419, 0.137391
1140, 2000, 0.57, 16676, 122440, 0.136197
1120, 2000, 0.56, 17387, 126224, 0.137747
1079, 2000, 0.5395, 17350, 125470, 0.13828
1132, 2000, 0.566, 17411, 125904, 0.138288
1149, 2000, 0.5745, 17139, 123406, 0.138883
1144, 2000, 0.572, 17444, 124147, 0.140511
1117, 2000, 0.5585, 17125, 124124, 0.137967
1131, 2000, 0.5655, 17178, 123532, 0.139057
1123, 2000, 0.5615, 16857, 123361, 0.136648
1126, 2000, 0.563, 16993, 124781, 0.136183
1147, 2000, 0.5735, 17072, 124721, 0.136882
1121, 2000, 0.5605, 17230, 125104, 0.137725
1146, 2000, 0.573, 17327, 124217, 0.13949
1131, 2000, 0.5655, 17083, 123338, 0.138506
1084, 2000, 0.542, 17274, 126005, 0.13709
1095, 2000, 0.5475, 17061, 124710, 0.136805
1100, 2000, 0.55, 17149, 125579, 0.136559
1133, 2000, 0.5665, 16958, 123803, 0.136976
1116, 2000, 0.558, 17433, 125432, 0.138984
1138, 2000, 0.569, 17284, 124418, 0.138919
1131, 2000, 0.5655, 17003, 124327, 0.13676
1127, 2000, 0.5635, 17255, 125326, 0.137681
1132, 2000, 0.566, 17009, 124306, 0.136832
1137, 2000, 0.5685, 17079, 125714, 0.135856
1093, 2000, 0.5465, 17171, 125284, 0.137057
1066, 2000, 0.533, 16999, 123903, 0.137196
1128, 2000, 0.564, 16985, 122954, 0.138141
1137, 2000, 0.5685, 16986, 123177, 0.137899
1130, 2000, 0.565, 17170, 125890, 0.136389
1116, 2000, 0.558, 17109, 124658, 0.137248
1161, 2000, 0.5805, 17062, 123458, 0.138201
1118, 2000, 0.559, 17060, 124753, 0.13675
1144, 2000, 0.572, 17265, 124718, 0.138432
1089, 2000, 0.5445, 16940, 123072, 0.137643
1128, 2000, 0.564, 17082, 123378, 0.138453
1085, 2000, 0.5425, 16749, 123837, 0.13525
1156, 2000, 0.578, 16947, 123730, 0.136968
1146, 2000, 0.573, 17166, 124213, 0.138198
1150, 2000, 0.575, 17308, 125586, 0.137818
1113, 2000, 0.5565, 17189, 124240, 0.138353
1125, 2000, 0.5625, 17297, 124154, 0.139319
1113, 2000, 0.5565, 17235, 124786, 0.138116
1128, 2000, 0.564, 17253, 125100, 0.137914
1094, 2000, 0.547, 17284, 124243, 0.139114
1109, 2000, 0.5545, 17472, 126577, 0.138035
1081, 2000, 0.5405, 17110, 125348, 0.1365
1123, 2000, 0.5615, 17085, 124032, 0.137747
1102, 2000, 0.551, 17110, 123406, 0.138648
1057, 2000, 0.5285, 17348, 123943, 0.139968
1140, 2000, 0.57, 17501, 125570, 0.139372
1164, 2000, 0.582, 17242, 123984, 0.139066
1105, 2000, 0.5525, 17252, 124727, 0.138318
1110, 2000, 0.555, 17209, 124889, 0.137794
1124, 2000, 0.562, 17263, 126016, 0.136991
1118, 2000, 0.559, 17646, 125122, 0.14103
1137, 2000, 0.5685, 17364, 123952, 0.140086
1123, 2000, 0.5615, 17372, 125005, 0.13897
1106, 2000, 0.553, 17407, 125740, 0.138436
1134, 2000, 0.567, 17041, 123661, 0.137804
1169, 2000, 0.5845, 17214, 123227, 0.139693
1090, 2000, 0.545, 17279, 123543, 0.139862
1152, 2000, 0.576, 17243, 124060, 0.138989
1127, 2000, 0.5635, 17341, 124554, 0.139225
1137, 2000, 0.5685, 17304, 124636, 0.138836
1127, 2000, 0.5635, 17227, 124361, 0.138524
1053, 2000, 0.5265, 17051, 122993, 0.138634
1100, 2000, 0.55, 17337, 124725, 0.139002
1107, 2000, 0.5535, 17115, 123056, 0.139083
1110, 2000, 0.555, 17290, 124893, 0.138439
1142, 2000, 0.571, 17843, 126559, 0.140986
1126, 2000, 0.563, 17330, 125399, 0.138199
